ID,Burn,In_Out,lat,long,elev,aspect,aspect_SW,slope,hl_index,dist,dwd,d2wd,rdnbr,dnbr,herb_cov,shrub_cov,tree_cov,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,temp,winter_aridity,summer_aridity,PIPO,PSME,ABCO,POTR,PJ
CEROUT039,Cerro_Grande,OUT,35.9555734,-106.2875396,2219,84.2893982,-0.773957395,6.9856901,0.824411,183,3.774274614,0.120147099,817,569,36.5,31.5,0,10.075,21.34375,-1.33125,22.65625,420.8125,250.5625,49.825,92.78125,248.4375,2468.9375,3198.0625,315.0625,225.625,124,289,164.875,25.4375,-30.2,36.7,1049.3125,671.4375,-3738.13125,56.875,5.66202463,2.002118002,-0.176151694,0,0,0,0,0
CEROUT040,Cerro_Grande,OUT,35.95553159,-106.2847115,2202,65.5559998,-0.936329456,5.6491799,0.812631,36,17.98926107,1.210473058,697,554,12.5,17.5,0,10.14375,21.45,-1.3,22.75,414.8125,247.375,50.74375,94.4875,246.1875,2490.5625,3179.8125,323.3125,226.0625,123.875,289.0625,165.1875,24.6875,-30.2,36.8,1055.875,682.25,-3738.13125,56.75,5.887643344,2.019995475,-0.140671238,0,0,0,0,0
CEROUT041,Cerro_Grande,OUT,35.95564842,-106.2618049,2141,352.875,-0.613940839,3.6949999,0.831507,33,82.6565503,5.70739807,668,444,9.5,8,0,10.4375,21.89375,-1.24375,23.1375,388.375,229.3125,54.93125,103.95,238.75,2576.9375,3112,358.1875,225.875,124.375,288.9375,164.5,22.875,-30.1,37.4,1093.625,743.625,-3738.13125,55.3125,6.912120064,1.989899436,0.116573397,0,0,0,0,0
CEROUT050,Cerro_Grande,OUT,35.9548038,-106.2692316,2171,94.3986969,-0.650791485,2.9892399,0.831598,4,80.0024337,8.992259181,713,505,24,14.5,17.5,10.2875,21.69375,-1.275,22.96875,399.9375,235.875,53.00625,100.1,242.5625,2536.375,3144.5625,342.0625,225.5625,124.5,288.6875,164.25,24.125,-30.1,37.1,1077.9375,718.4375,-3738.125,55.8125,6.456815949,1.971536856,0.019247984,0,0,0,0,1
CEROUT055,Cerro_Grande,OUT,35.95366407,-106.2780838,2204,342.5969849,-0.463249399,17.3136005,0.828503,51,46.50360418,2.57087535,849,659,7.5,21.5,0,10.15,21.475,-1.31875,22.78125,413.25,245.5,50.91875,95.23125,246.875,2492.875,3179.6875,324.5,225.625,124.1875,289,164.6875,25,-30.2,36.8,1058.75,687,-3738.13125,56.6875,5.938469511,1.999569075,-0.123998619,0,0,0,0,0
CEROUT058,Cerro_Grande,OUT,35.95344335,-106.2818724,2231,5.7105899,-0.773957263,8.9491901,0.812006,30,32.33184318,1.638852539,919,738,37,32.5,0,10.03125,21.3,-1.35,22.64375,422.625,250.3125,49.50625,92.64375,250.25,2458.8125,3208.625,311.5625,225.125,124.3125,288.6875,164.375,26.25,-30.2,36.6,1047,670.1875,-3738.125,56.875,5.58756705,1.969588529,-0.177608965,0,0,0,0,0
CEROUT059,Cerro_Grande,OUT,35.95344605,-106.2714497,2200,29.7448997,-0.964763906,4.2235999,0.818939,5,88.66425383,7.881495142,796,450,6.5,27.5,0,10.175,21.5,-1.30625,22.84375,409.6875,241.875,51.43125,96.81875,246.3125,2501.75,3173.8125,328.375,225.125,124.625,288.6875,164.1875,25.3125,-30.2,36.9,1065.125,697.4375,-3738.13125,56.25,6.073034195,1.967616423,-0.075814565,0,0,0,0,3
CEROUT064,Cerro_Grande,OUT,35.95296176,-106.2626714,2152,164.3580017,0.490265015,6.3660402,0.861973,6,116.118155,10.15288478,780,557,17,35,0,10.375,21.80625,-1.2625,23.075,392.3125,231.6875,54.25625,102.51875,240.5,2563.625,3123.0625,352.9375,225.8125,124.375,288.9375,164.5625,23.375,-30.1,37.3,1088.5,735,-3738.15,55.625,6.745792277,1.986910898,0.084111008,0,0,0,0,0
CEROUT067,Cerro_Grande,OUT,35.95239402,-106.2796711,2225,113.4990005,-0.366517457,11.3591003,0.838871,7,46.35750041,5.667383301,796,554,52,10.5,0,10.0625,21.34375,-1.34375,22.6875,420.0625,248.75,49.8625,93.39375,249.8125,2467.25,3202.0625,314.9375,225.125,124.375,288.6875,164.3125,26.25,-30.2,36.7,1050.0625,675.625,-3738.125,56.8125,5.682059304,1.971849993,-0.163790159,0,0,0,0,0
CEROUT073,Cerro_Grande,OUT,35.95137471,-106.2669814,2167,123.1110001,-0.20601632,6.2758799,0.84426,1,128.2774052,17.59686573,427,321,10.5,8,0,10.325,21.70625,-1.275,22.9875,398.5625,235.25,53.25625,100.45625,242.25,2542.4375,3140.1875,344.3125,225.625,124.5,288.8125,164.25,24.0625,-30.1,37.2,1079.4375,721.1875,-3738.14375,55.8125,6.51114857,1.979926763,0.028515878,0,0,0,0,0
